usuario_id,nombre_completo,email,telefono,edad,genero,pais,ciudad_envio,estado_cuenta,fecha_registro,n_pedidos,gasto_total,ticket_medio,pedidos_tarde,rating_medio,origen_dato
1,Amador Guevara,maitecalatayud@example.net,+34 949 001 338,19.0,Otro,Perú,Arequipa,Activo,2025-01-15,0.0,0.0,,0.0,,regex
2,Estefanía Villalpando,crespoluisa@example.com,351-161-5594,75.0,Otro,Perú,Cusco,Activo,2025-07-18,1.0,1537.12,1537.12,0.0,,regex
3,Ágata Berríos,reynaldo31@example.org,+34 888 13 16 47,,,México,Guadalajara,Activo,2023-11-05,1.0,3205.9,3205.9,0.0,,regex
4,Enrique Becerra,fernandosevilla@example.com,835-030-5641x39537,46.0,Otro,Colombia,Medellín,Activo,2026-01-04,0.0,0.0,,0.0,,regex
5,Claudio Chávez,margarita96@example.net.,328.710.1226,62.0,F,España,Sevilla,Activo,2024-07-05,2.0,8719.11,4359.555,0.0,5.0,regex
6,Óliver Uribe,lasamaria-jose@example.net,04627048281,23.0,F,Argentina,Rosario,Activo,2025-11-18,1.0,302.42,302.42,0.0,,regex
7,Ezequiel Cuellar,amaya01@example.com,039.117.1822,,,Venezuela,Valencia,Suspendido,2026-03-13,3.0,6559.9,2186.633333333333,1.0,2.0,regex
8,Juan Manuel Galarza,sabas57@example.net.,03315098393,63.0,M,Chile,Concepción,Activo,2023-07-27,3.0,5233.19,1744.3966666666665,1.0,4.5,regex
9,Jenaro Angulo,serranoeva@example.com,1-829-973-7631,47.0,,Colombia,Barranquilla,Activo,2025-05-02,4.0,14925.84,3731.46,0.0,4.0,regex
10,Luisa Robles,barrerasamuel@example.net,03338726247,61.0,,Argentina,Rosario,Activo,2025-12-24,5.0,12238.16,2447.632,0.0,5.0,regex
11,Venceslás Ayuso,guzmanflavio@example.com,360.260.6474x687,47.0,F,México,Mérida,Activo,2023-12-05,0.0,0.0,,0.0,,regex
12,Bautista Mir,tapiaani@example.net,+34807812191,53.0,M,Perú,Trujillo,Activo,2024-07-26,3.0,1507.4799999999998,502.4933333333333,0.0,4.5,regex
13,Cristina Bilbao,francisca35@example.org,247-510-7991x183,,M,Venezuela,Maturín,Activo,2023-10-03,1.0,10510.89,10510.89,0.0,5.0,regex
14,Ángela Peiró,marcelatorrez@example.net,808.412.4118,31.0,,Perú,Arequipa,Inactivo,2025-07-05,1.0,2348.25,2348.25,0.0,,regex
15,Jacinta Santiago,amelia16@example.com,+34652 427 868,,Otro,México,Monterrey,Activo,2023-09-10,4.0,3821.31,955.3275,0.0,5.0,regex
16,Caridad Peiró,ccastell@example.com,+53(3)1586923226,26.0,Otro,Argentina,Rosario,Inactivo,2023-11-23,3.0,9635.77,3211.9233333333336,1.0,1.0,regex
17,Lilia Lasa,pineirosalud@example.org,375.433.0365,,Otro,México,Ciudad de México,Inactivo,2025-12-13,1.0,675.12,675.12,0.0,,regex
